,Release Group,Worldwide,Domestic,Foreign,Year
258,Behind the Sun,"$805,755","$19,861","$785,894",2000
259,About Adam,"$802,951","$159,668","$643,283",2000
260,Trembling Before G-d,"$788,896","$788,896",-,2000
261,Fat Girl,"$765,705","$725,854","$39,851",2000
262,Texas Rangers,"$763,740","$623,374","$140,366",2000
263,Bread and Roses,"$706,876","$533,479","$173,397",2000
264,Bully,"$704,808","$480,811","$223,997",2000
265,Happy Accidents,"$688,523","$688,523",-,2000
266,The Caveman's Valentine,"$687,194","$687,194",-,2000
267,Alias Betty,"$667,087","$208,400","$458,687",2000
268,Focus,"$645,418","$645,418",-,2000
269,Dinner Rush,"$634,566","$634,566",-,2000
270,The Trumpet of the Swan,"$628,387","$102,202","$526,185",2000
271,Our Lady of the Assassins,"$624,525","$525,330","$99,195",2000
272,The Grey Zone,"$621,592","$517,872","$103,720",2000
273,The Fluffer,"$599,523","$563,373","$36,150",2000
274,My First Mister,"$595,005","$568,762","$26,243",2000
275,Forgive Me Father,"$582,787","$582,787",-,2000
276,Me You Them,"$560,943","$323,923","$237,020",2000
277,The Circle 2001 Re-release,"$519,354","$440,554","$78,800",2000
278,Big Eden,"$512,451","$512,451",-,2000
279,Karmina 2,"$508,969","$508,969",-,2000
280,His Secret Life,"$500,930","$215,449","$285,481",2000
281,The Invisible Circus,"$494,630","$77,578","$417,052",2000
282,Tape,"$490,475","$490,475",-,2000
283,In Praise of Love,"$485,003","$252,074","$232,929",2000
284,Warm Water Under a Red Bridge,"$453,754","$71,094","$382,660",2000
285,Porn Star: The Legend of Ron Jeremy,"$421,516","$421,516",-,2000
286,Tuvalu,"$411,678","$411,678",-,2000
287,Lost and Delirious,"$396,897","$307,233","$89,664",2000
288,Pauline and Paulette,"$395,175","$139,789","$255,386",2000
289,Millennium Mambo,"$393,351","$14,904","$378,447",2000
290,Born Romantic,"$376,090","$15,545","$360,545",2000
291,Keep the River on Your Right: A Modern Cannibal Tale,"$373,366","$373,366",-,2000
292,Nico and Dani,"$372,850","$370,562","$2,288",2000
293,Me Without You,"$369,226","$304,909","$64,317",2000
294,The Adventures of Felix,"$363,409","$363,409",-,2000
295,Grateful Dawg,"$360,251","$360,251",-,2000
296,Lumumba,"$352,296","$352,296",-,2000
297,Come Undone,"$326,484","$326,484",-,2000
298,The Weight of Water,"$321,279","$109,130","$212,149",2000
299,Bride of the Wind,"$318,823","$318,823",-,2000
300,Under the Sun,"$316,020","$316,020",-,2000
301,Russian Doll,"$313,901","$127,103","$186,798",2000
302,101 Reykjavík 2001 Re-release,"$301,882","$126,404","$175,478",2000
303,Series 7: The Contenders,"$300,086","$195,065","$105,021",2000
304,Wet Hot American Summer,"$295,206","$295,206",-,2000
305,The Body,"$280,777","$36,849","$243,928",2000
306,Piñero,"$275,171","$275,171",-,2000
307,Life and Debt,"$263,107","$263,107",-,2000
308,What Time Is It There?,"$258,592","$195,760","$62,832",2000
309,Happenstance,"$251,444","$251,444",-,2000
310,Time and Tide,"$243,978","$10,770","$233,208",2000
311,Audition,"$242,759","$131,296","$111,463",2000
312,The Independent,"$238,431","$238,431",-,2000
313,Chopper,"$236,185","$236,185",-,2000
314,Fast Food Fast Women,"$228,787","$17,131","$211,656",2000
315,Funny Girl 2001 Re-release,"$224,263","$223,306",$957,2000
316,Beautiful Creatures,"$217,679","$55,835","$161,844",2000
317,Beijing Bicycle,"$215,854","$66,131","$149,723",2000
318,The Vertical Ray of the Sun,"$201,247","$110,134","$91,113",2000
319,Diamond Men,"$191,221","$191,221",-,2000
320,One Week,"$190,441","$190,441",-,2000
321,The Hidden Fortress,"$183,579","$183,579",-,2000
322,Burnt Money,"$183,132","$183,132",-,2000
323,Fulltime Killer,"$181,662","$23,124","$158,538",2000
324,Chop Suey,"$179,914","$179,914",-,2000
325,Maybe Baby,"$165,046","$20,501","$144,545",2000
326,Punks,"$160,083","$160,083",-,2000
327,Jodi No. 1,"$156,415","$82,834","$73,581",2000
328,The Gleaners & I,"$155,320","$155,320",-,2000
329,Go Tigers!,"$151,779","$151,779",-,2000
330,Vampire Hunter D: Bloodlust,"$151,086","$151,086",-,2000
331,The Day I Became a Woman,"$149,971","$149,971",-,2000
332,Ayurveda: Art of Being,"$146,713","$32,267","$114,446",2000
333,Company Man,"$146,193","$146,193",-,2000
334,Swiri,"$135,892","$98,452","$37,440",2000
335,Baran,"$125,900","$125,900",-,2000
336,Dancing at the Blue Iguana,"$122,121","$67,913","$54,208",2000
337,All the Queen's Men,"$121,258","$23,662","$97,596",2000
338,Akira 2001 Re-release,"$114,009","$114,009",-,2000
339,Thomas in Love,"$111,523","$44,256","$67,267",2000
340,Downtown 81,"$108,058","$108,058",-,2000
341,The Girl,"$104,883","$104,883",-,2000
342,Lola,"$103,951","$103,951",-,2000
343,Fighter,"$99,938","$99,938",-,2000
344,Everybody's Famous!,"$97,353","$81,734","$15,619",2000
345,Code Unknown,"$95,242","$95,242",-,2000
346,Jin-Roh: The Wolf Brigade,"$94,591","$94,591",-,2000
347,Haiku Tunnel,"$92,723","$92,723",-,2000
348,Bay of Angels,"$85,840","$85,840",-,2000
349,ABCD,"$83,372","$83,372",-,2000
350,Best Man in Grass Creek,"$81,760","$81,760",-,2000
351,'R Xmas,"$81,476",$850,"$80,626",2000
352,Songs from the Second Floor,"$80,334","$80,334",-,2000
353,"Sobibór, October 14, 1943, 4 p.m.","$79,728","$41,040","$38,688",2000
354,Herman U.S.A.,"$71,509","$71,509",-,2000
355,The Pinochet Case,"$68,934","$35,701","$33,233",2000
356,The Town Is Quiet,"$66,303","$66,303",-,2000
357,Aberdeen,"$65,090","$65,090",-,2000
358,Last Resort,"$65,041","$37,283","$27,758",2000
359,Kuch Khatti Kuch Meethi,"$57,188","$57,188",-,2000
360,Così ridevano,"$57,009","$57,009",-,2000
361,A Matter of Taste,"$51,148","$10,720","$40,428",2000
362,Yurîka,"$49,388","$49,388",-,2000
363,The Amati Girls,"$49,136","$49,136",-,2000
364,The Circle,"$43,918","$43,918",-,2000
365,"February 15, 1839","$43,595","$43,595",-,2000
366,Simon Magus,"$40,861","$40,861",-,2000
367,Pavilion of Women,"$36,992","$36,992",-,2000
368,Signs & Wonders,"$33,842","$33,842",-,2000
369,The Turandot Project,"$33,504","$33,504",-,2000
370,Life: A User's Manual,"$33,236","$33,236",-,2000
371,Band of Outsiders,"$28,656","$28,656",-,2000
372,"South of Heaven, West of Hell","$28,149","$28,149",-,2000
373,King of the Jungle,"$27,841","$27,841",-,2000
374,Maze,"$26,041","$26,041",-,2000
375,Spriggan,"$25,824","$25,824",-,2000
376,Werckmeister Harmonies,"$25,461","$25,461",-,2000
377,Shadow Glories,"$24,997","$24,997",-,2000
378,ABC Africa,"$22,881","$9,075","$13,806",2000
379,The Simian Line,"$19,823","$19,823",-,2000
380,The King Is Alive,"$17,929","$17,929",-,2000
381,Speedway Junky,"$17,246","$17,246",-,2000
382,A Real Young Girl,"$17,245","$17,245",-,2000
383,Pandaemonium,"$17,113","$5,151","$11,962",2000
384,Eban and Charley,"$16,918","$16,918",-,2000
385,Nora,"$15,120","$15,120",-,2000
386,Two Ninas,"$14,725","$14,725",-,2000
387,Children Underground,"$12,798","$12,798",-,2000
388,New York in the 50's,"$11,882","$11,882",-,2000
389,My Voyage to Italy,"$11,683","$11,683",-,2000
390,The Young Girl and the Monsoon,"$9,186","$9,186",-,2000
391,Bounce: Behind the Velvet Rope,"$8,779","$8,779",-,2000
392,Everything Put Together,"$8,741","$2,963","$5,778",2000
393,Bloody Angels,"$6,509","$6,509",-,2000
394,Scottsboro: An American Tragedy,"$6,123","$6,123",-,2000
395,Rat,"$5,980","$2,630","$3,350",2000
396,Bad Blood,"$5,812","$5,812",-,2000
397,Lakeboat,"$5,159","$5,159",-,2000
398,Lush,"$2,763","$2,763",-,2000
399,Ginger Snaps,"$2,554","$2,554",-,2000
400,Whatever Happened to Harold Smith?,"$2,543","$2,543",-,2000
401,"Love, Honor and Obey","$1,400","$1,400",-,2000
402,The Last Wave 2001 Re-release,$957,$957,-,2000
403,Sorority Girls' Revenge,$582,$582,-,2000
404,Harry Potter and the Sorcerer's Stone,"$974,755,371","$317,575,550","$657,179,821",2001
405,The Lord of the Rings: The Fellowship of the Ring,"$883,726,270","$313,364,114","$570,362,156",2001
406,"Monsters, Inc.","$528,773,250","$255,873,250","$272,900,000",2001
407,Shrek,"$484,409,218","$267,665,011","$216,744,207",2001
408,Ocean's Eleven,"$450,717,150","$183,417,150","$267,300,000",2001
409,Pearl Harbor,"$449,220,945","$198,542,554","$250,678,391",2001
410,The Mummy Returns,"$433,013,274","$202,019,785","$230,993,489",2001
411,Jurassic Park III,"$368,780,809","$181,171,875","$187,608,934",2001
412,Planet of the Apes,"$362,211,740","$180,011,740","$182,200,000",2001
413,Hannibal,"$351,692,268","$165,092,268","$186,600,000",2001
414,Rush Hour 2,"$347,325,802","$226,164,286","$121,161,516",2001
415,A Beautiful Mind,"$313,542,341","$170,742,341","$142,800,000",2001
416,American Pie 2,"$287,553,595","$145,103,595","$142,450,000",2001
417,Bridget Jones's Diary,"$281,929,795","$71,543,427","$210,386,368",2001
418,Spirited Away,"$274,925,095","$10,055,859","$264,869,236",2001
419,Lara Croft: Tomb Raider,"$274,703,340","$131,168,070","$143,535,270",2001
420,A.I. Artificial Intelligence,"$235,926,552","$78,616,689","$157,309,863",2001
421,The Others,"$209,947,037","$96,522,687","$113,424,350",2001
422,The Fast and the Furious,"$207,283,925","$144,533,925","$62,750,000",2001
423,Vanilla Sky,"$203,388,341","$100,618,344","$102,769,997",2001
424,Cats & Dogs,"$200,687,492","$93,385,515","$107,301,977",2001
425,Atlantis: The Lost Empire,"$186,053,725","$84,056,472","$101,997,253",2001
426,Moulin Rouge!,"$179,213,434","$57,386,607","$121,826,827",2001
427,Dr. Dolittle 2,"$176,104,344","$112,952,899","$63,151,445",2001
428,Amélie,"$173,921,954","$33,225,499","$140,696,455",2001
